BE,uBE,N,Z,eBE
2.2245662000000004,4.0000000000000003e-07,1,1,0
8.481796200000002,9e-07,2,1,0
6.8817964,0.1,3,1,0
6.681796,0.0894425,4,1,0
5.769837,0.254127,5,1,0
6.58,1.001,6,1,1
7.71804132,3.0000000000000004e-07,1,2,0
28.2956624,8.000000000000001e-07,2,2,0
27.5606625,0.02,3,2,0
29.271119400000003,5.3400000000000004e-05,4,2,0
28.861404599999997,0.007559300000000001,5,2,0
31.396168000000003,8.88e-05,6,2,0
30.141342,0.0468162,7,2,0
29.951340000000002,0.09284800000000001,8,2,0
-6.801,2.001,0,3,1
4.615041199999999,0.21213200000000001,1,3,0
26.3306625,0.05,2,3,0
31.993987199999996,1.8e-06,3,3,0
39.245080699999995,4.2e-06,4,3,0
41.2776992,4.72e-05,5,3,0
45.3399165,0.0001863,6,3,0
45.313512,0.012721,7,3,0
45.7091987,0.0006149,8,3,0
45.499198799999995,0.030006,9,3,0
45.59919910000001,0.0700024,10,3,0
0.09,2.005,1,4,1
26.9234868,0.005448000000000001,2,4,0
37.6008409,7.07e-05,3,4,0
56.4994848,3.52e-05,4,4,0
58.1640237,7.650000000000002e-05,5,4,0
64.97630600000001,8.099999999999999e-05,6,4,0
65.4779422,0.0002376,7,4,0
68.6486676,0.001908,8,4,0
68.1386667,0.010180300000000002,9,4,0
69.9145622,0.13224539999999999,10,4,0
68.114562,0.165798,11,4,0
68.5645616,0.1657968,12,4,0
-2.802,2.004,1,5,1
24.9109385,0.0251503,2,5,0
37.7372408,0.001,3,5,0
56.31364169999999,0.0009027000000000001,4,5,0
64.750835,1.4999999999999999e-05,5,5,0
76.2050553,1.2100000000000001e-05,6,5,0
79.5746844,0.0013212000000000002,7,5,0
84.4534522,0.0009996999999999999,8,5,0
85.4230314,0.0212128,9,5,0
88.200657,0.0210285,10,5,0
88.117656,0.024566400000000002,11,5,0
89.5843509,0.2041037,12,5,0
89.57935080000001,0.20416499999999999,13,5,0
89.6730574,0.5253633,14,5,0
88.11305800000001,0.546356,15,5,0
87.2030565,0.5586651,16,5,0
24.812193599999997,0.0182432,2,6,0
39.036809700000006,0.0021366000000000002,3,6,0
60.320426,7.000000000000001e-05,4,6,0
73.4410193,5.94e-05,5,6,0
92.1617352,2.4000000000000003e-06,6,6,0
97.1080435,2.6000000000000005e-06,7,6,0
105.28447720000001,5.6e-06,8,6,0
106.50254400000001,0.0007995,9,6,0
110.7528736,0.0035776,10,6,0
111.4864454,0.017365500000000002,11,6,0
115.6703778,0.030000600000000002,12,6,0
116.247206,0.09838960000000001,13,6,0
119.228712,0.230624,14,6,0
119.154,0.588,15,6,1
119.2637116,0.2314906,16,6,0
116.771,0.989,17,6,1
36.436724000000005,0.4,3,7,0
58.9424253,0.0050006,4,7,0
74.04132,0.0009996,5,7,0
94.1052242,0.0002691,6,7,0
104.65860719999999,2.8e-06,7,7,0
115.49190449999999,3e-06,8,7,0
117.9807536,0.0023008,9,7,0
123.8658998,0.0150008,10,7,0
126.69412860000001,0.018568800000000003,11,7,0
132.02235879999998,0.0164046,12,7,0
134.183434,0.078894,13,7,0
138.7893339,0.1340472,14,7,0
140.3277634,0.207779,15,7,0
143.4434583,0.42056879999999996,16,7,0
141.288,0.408,17,7,1
140.325,0.5,18,7,1
34.78680919999999,0.060038,3,8,0
58.58370599999999,0.012,4,8,0
75.5529268,0.0095264,5,8,0
98.73189620000001,2.52e-05,6,8,0
111.9553725,0.0004904999999999999,7,8,0
127.6193152,3.2000000000000003e-06,8,8,0
131.76239470000002,3.4e-06,9,8,0
139.8077658,3.6000000000000003e-06,10,8,0
143.7634088,0.0026372,11,8,0
151.371414,0.0008840000000000001,12,8,0
155.1768687,0.0119994,13,8,0
162.02718839999997,0.0569206,14,8,0
164.76016879999997,0.12171140000000001,15,8,0
168.952452,0.1648752,16,8,0
168.195145,0.16508499999999998,17,8,0
168.934454,0.1649492,18,8,0
166.995,0.513,19,8,1
167.664,0.7,20,8,1
55.861,0.494,4,9,1
73.9929274,0.0411194,5,9,0
97.4618955,0.013999500000000002,6,9,0
111.424784,0.005364799999999999,7,9,0
128.2195828,0.0002482,8,9,0
137.3694894,0.0004626,9,9,0
147.8013648,3.8e-06,10,9,0
154.40270200000003,2.9999999999999997e-05,11,9,0
162.5041614,0.0017997,12,9,0
167.7344988,0.0123992,13,9,0
175.3139281,0.033320100000000005,14,9,0
179.1259944,0.0976704,15,9,0
183.40766250000001,0.0964425,16,9,0
184.1384922,0.1070264,17,9,0
185.75098739999999,0.12019860000000002,18,9,0
185.5519876,0.1203468,19,9,0
186.8769106,0.525364,20,9,0
186.15,0.51,21,9,1
186.341,0.527,22,9,1
73.0309275,0.066684,5,10,0
97.3308432,0.02048,6,10,0
112.8884847,0.0003536,7,10,0
132.1426386,0.0003636,8,10,0
143.7795189,0.0001596,9,10,0
160.64482400000003,4e-06,10,10,0
167.4059856,3.78e-05,11,10,0
177.7702432,1.76e-05,12,10,0
182.9708903,0.0001035,13,10,0
191.83980480000002,0.0005135999999999999,14,10,0
195.99498499999999,0.029044999999999998,15,10,0
201.54968599999998,0.0184288,16,10,0
203.0512077,0.0907713,17,10,0
206.87369640000003,0.1260672,18,10,0
207.8449517,0.14950370000000002,19,10,0
211.035951,0.25325100000000006,20,10,0
211.20579619999998,0.2661939,21,10,0
213.472,0.512,22,10,1
212.388,0.594,23,10,1
213.758,0.51,24,10,1
93.8870101,0.0596156,6,11,0
111.63991680000001,0.09388080000000001,7,11,0
131.81984160000002,0.0105355,8,11,0
145.970056,0.0011079999999999998,9,11,0
163.07672010000002,4.2000000000000004e-05,10,11,0
174.1445728,0.000132,11,11,0
186.5643528,4.6e-06,12,11,0
193.5237168,1.68e-05,13,11,0
202.53494750000002,0.0012,14,11,0
208.1092338,0.0035021999999999996,15,11,0
214.8375609,0.0037260000000000006,16,11,0
218.3794032,0.010245200000000001,17,11,0
222.7824138,0.007337,18,11,0
225.059055,0.0047279999999999996,19,11,0
229.35901180000002,0.0139717,20,11,0
231.03620800000002,0.037260800000000004,21,11,0
233.96756459999997,0.4499120999999999,22,11,0
234.1388818,0.5994166,23,11,0
236.075,0.665,24,11,1
236.052,0.684,25,11,1
236.911,0.703,26,11,1
236.208,0.722,27,11,1
236.184,0.741,28,11,1
112.12848480000001,0.0600001,7,12,0
134.560504,0.0018620000000000002,8,12,0
149.2056657,0.0007539000000000001,9,12,0
168.58081900000002,0.00015839999999999997,10,12,0
181.7258267,3.22e-05,11,12,0
198.25704720000002,1.44e-05,12,12,0
205.58757,4.75e-05,13,12,0
216.6806486,2.86e-05,14,12,0
223.1240175,4.8599999999999995e-05,15,12,0
231.62868680000003,0.0002604,16,12,0
235.29241929999998,0.00034510000000000004,17,12,0
241.63275,0.001296,18,12,0
243.9448466,0.0030751999999999997,19,12,0
249.7229152,0.0032608000000000003,20,12,0
252.00246059999998,0.0026631,21,12,0
256.71332459999996,0.0068918,22,12,0
257.468183,0.269668,23,12,0
260.7991272,0.6902388,24,12,0
261.0391255,0.6989485,25,12,0
263.264,0.494,26,12,1
262.626,0.507,27,12,1
263.92,0.52,28,12,1
263.425,0.492,29,12,1
132.237,0.609,8,13,1
149.204,0.396,9,13,1
168.7217325,0.000345,10,13,0
183.5899344,0.00022799999999999999,11,13,0
200.528415,6.500000000000001e-05,12,13,0
211.89389780000002,6.759999999999999e-05,13,13,0
224.95193909999998,4.8599999999999995e-05,14,13,0
232.67711319999998,5.04e-05,15,13,0
242.10547630000002,0.00034510000000000004,16,13,0
247.833147,0.001935,17,13,0
254.99105799999998,0.0022351000000000003,18,13,0
259.2110368,0.0071712,19,13,0
264.6803676,0.0069861,20,13,0
267.2519204,0.0021046,21,13,0
272.5493505,0.007360499999999999,22,13,0
274.4465544,0.1495044,23,13,0
278.658692,0.1802455,24,13,0
280.06,0.152,25,13,1
283.14,0.312,26,13,1
283.88,0.28,27,13,1
286.18,0.41,28,13,1
286.818,0.504,29,13,1
288.616,0.602,30,13,1
132.968,0.506,8,14,1
150.742,0.506,9,14,1
172.01358960000002,0.0194712,10,14,0
187.0027725,0.01,11,14,0
206.04241580000001,0.00010660000000000002,12,14,0
219.357234,0.000108,13,14,0
236.53684600000003,5.6e-06,14,14,0
245.01044689999998,5.8e-06,15,14,0
255.619647,2.4e-05,16,14,0
262.20703960000003,4.34e-05,17,14,0
271.40700799999996,0.00029759999999999997,18,14,0
275.9149668,0.0006996,19,14,0
283.46364059999996,0.0008024,20,14,0
285.934754,0.0358575,21,14,0
292.05071640000006,0.0717984,22,14,0
294.25742210000004,0.11380829999999999,23,14,0
299.9275286,0.1047926,24,14,0
301.5081927,0.1355328,25,14,0
306.23298800000003,0.12199199999999999,26,14,0
306.762,0.287,27,14,1
311.22,0.294,28,14,1
311.793,0.387,29,14,1
314.864,0.484,30,14,1
315.18,0.585,31,14,1
147.96,0.504,9,15,1
169.85,0.4,10,15,1
187.148,0.208,11,15,1
206.8494138,0.009001799999999999,12,15,0
221.4095576,0.0011480000000000001,13,15,0
239.2858672,0.00035959999999999996,14,15,0
250.60519200000002,6.6e-05,15,15,0
262.9161987,6.200000000000001e-06,16,15,0
270.85184960000004,4.1599999999999995e-05,17,15,0
280.9556409,0.001089,18,15,0
287.2383104,0.0008092,19,15,0
295.61873599999996,0.0018655,20,15,0
299.08329119999996,0.013114800000000001,21,15,0
305.8995757,0.0379472,22,15,0
309.5964462,0.07257999999999999,23,15,0
315.82083389999997,0.11264370000000001,24,15,0
319.256708,0.08360799999999999,25,15,0
324.16860330000003,0.1201628,26,15,0
326.1683124,0.09500820000000001,27,15,0
330.283,0.301,28,15,1
332.288,0.396,29,15,1
335.52,0.495,30,15,1
336.72,0.506,31,15,1
338.823,0.611,32,15,1
169.65,0.598,10,16,1
187.92,0.405,11,16,1
209.4061508,0.1600004,12,16,0
224.6450954,0.0130413,13,16,0
243.681243,0.000207,14,16,0
256.7358403,0.00022940000000000002,15,16,0
271.7801632,6.4000000000000006e-06,16,16,0
280.4218032,6.6e-06,17,16,0
291.8389524,4.42e-05,18,16,0
298.8247885,4.2e-05,19,16,0
308.71403999999995,0.00018719999999999997,20,16,0
313.0176431,0.0001998,21,16,0
321.0537502,0.0071706,22,16,0
325.4265222,0.0500019,23,16,0
333.17302,0.003984,24,16,0
337.41506780000003,0.0041,25,16,0
344.11555500000003,0.0027930000000000003,26,16,0
346.7445868,0.0049708,27,16,0
351.8246776,0.0052184,28,16,0
354.015,0.315,29,16,1
358.11,0.414,30,16,1
359.644,0.423,31,16,1
362.496,0.48,32,16,1
362.6,0.588,33,16,1
184.436,0.504,11,17,1
206.741,0.203,12,17,1
224.16509399999998,0.023877000000000002,13,17,0
243.9455131,0.0034471999999999997,14,17,0
258.3169856,0.0005632,15,17,0
274.05693809999997,0.0003894,16,17,0
285.56500040000003,4.76e-05,17,17,0
298.209765,3.5000000000000004e-05,18,17,0
306.7895592,3.6e-05,19,17,0
317.1004192,5.18e-05,20,17,0
323.2083046,9.88e-05,21,17,0
331.2817248,0.0017316,22,17,0
337.11064,0.032064,23,17,0
344.9313313,0.0687242,24,17,0
350.5272288,0.0596148,25,17,0
357.9262896,0.061859800000000006,26,17,0
362.31706720000005,0.0855668,27,17,0
368.1719595,0.1361655,28,17,0
371.7156822,0.0972486,29,17,0
375.624,0.188,30,17,1
378.384,0.48,31,17,1
381.465,0.392,32,17,1
382.55,0.4,33,17,1
384.03,0.714,34,17,1
384.072,0.676,35,17,1
182.004,0.435,11,18,1
205.98,0.18,12,18,1
224.812,0.186,13,18,1
246.40028479999998,0.0017696,14,18,0
261.6555447,0.0003993,15,18,0
