Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
9,18,(5/2+),18080.0,25130.0,-286.0,6880.0,4,4,1,27,0.3333333333333333,2.5,1.0,0.5,2.0,0,0.6666664444445185,3.0,8,20,4.5,6.88,185.76,175.1640000000001,10.59599999999989,185.46785846838415,0.2921415316158402
9,18,(5/2+),18080.0,25130.0,-286.0,6880.0,4,4,1,27,0.3333333333333333,2.5,1.0,0.5,2.0,0,0.6666664444445185,3.0,8,20,4.5,6.88,185.76,175.1640000000001,10.59599999999989,185.46785846838415,0.2921415316158402
9,18,(5/2+),18080.0,25130.0,-286.0,6880.0,4,4,1,27,0.3333333333333333,2.5,1.0,0.5,2.0,0,0.6666664444445185,3.0,8,20,4.5,6.88,185.76,175.1640000000001,10.59599999999989,185.46785846838415,0.2921415316158402
9,18,(5/2+),18080.0,25130.0,-286.0,6880.0,4,4,1,27,0.3333333333333333,2.5,1.0,0.5,2.0,0,0.6666664444445185,3.0,8,20,4.5,6.88,185.76,175.1640000000001,10.59599999999989,185.46785846838415,0.2921415316158402
9,16,5/2+,13370.0,11330.0,-208.0,7336.0,4,4,1,25,0.28,2.5,1.0,0.5,2.0,0,0.799999840000032,2.924017738212866,8,20,3.5,7.336,183.4,175.4839121857311,7.916087814268906,182.02032711950508,1.3796728804949225
9,16,5/2+,13370.0,11330.0,-208.0,7336.0,4,4,1,25,0.28,2.5,1.0,0.5,2.0,0,0.799999840000032,2.924017738212866,8,20,3.5,7.336,183.4,175.4839121857311,7.916087814268906,182.02032711950508,1.3796728804949225
9,16,5/2+,13370.0,11330.0,-208.0,7336.0,4,4,1,25,0.28,2.5,1.0,0.5,2.0,0,0.799999840000032,2.924017738212866,8,20,3.5,7.336,183.4,175.4839121857311,7.916087814268906,182.02032711950508,1.3796728804949225
9,17,1+,18190.0,18670.0,-308.0,7082.0,4,4,1,26,0.3076923076923077,1.0,1.0,-0.5,1.5,-1,0.7499998125000469,2.9624960684073702,8,20,4.0,7.082,184.132,173.37817156629728,10.753828433702722,183.23895437455369,0.8930456254463195
9,17,1+,18190.0,18670.0,-308.0,7082.0,4,4,1,26,0.3076923076923077,1.0,1.0,-0.5,1.5,-1,0.7499998125000469,2.9624960684073702,8,20,4.0,7.082,184.132,173.37817156629728,10.753828433702722,183.23895437455369,0.8930456254463195
9,17,1+,18190.0,18670.0,-308.0,7082.0,4,4,1,26,0.3076923076923077,1.0,1.0,-0.5,1.5,-1,0.7499998125000469,2.9624960684073702,8,20,4.0,7.082,184.132,173.37817156629728,10.753828433702722,183.23895437455369,0.8930456254463195
9,10,1/2+,-3239.5,-1487.4451,196.05862,7779.0192,20,20,0,19,0.05263157894736842,0.5,1.0,0.5,0.0,0,0.6666664444445185,2.668401648721945,8,8,0.5,7.7790192,147.8013648,149.4107591643865,-1.6093943643865032,149.62891059487944,-1.8275457948794553
9,11,2+,7024.47,-17.46,134.246,7720.1351,15,15,1,20,0.1,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,2.7144176165949063,8,8,1.0,7.7201351,154.402702,154.9022964485516,-0.49959444855159063,154.7519626009774,-0.3492606009774022
9,14,5/2+,8440.0,3290.0,-28.5,7622.3,14,14,1,23,0.21739130434782608,2.5,1.0,0.5,2.0,0,0.857142734693895,2.8438669798515654,8,8,2.5,7.6223,175.3129,172.103110833677,3.20978916632302,175.3192597742318,-0.006359774231782467
