BE,uBE,N,Z,eBE,x,A,ee,eo,oe,oo,t,h,P,K,S,d,sp,sn,s2p,s2n,be_per_A
983.3183919,0.0255528,64,53,0,121,117,0.0,0.0,1.0,0.0,23.92161929806432,0.828125,2.4705882352941178,4.890973246508748,0.09401709401709402,0.0,4.929472299999929,8.603803499999913,6.44443739999997,19.4818037,8.4044307
1219.5773648000002,0.0111888,90,58,0,1024,148,1.0,0.0,0.0,0.0,27.97957694388431,0.6444444444444445,4.0,5.289572472694207,0.21621621621621623,1.0,7.929931199999828,4.342815799999926,17.859470199999805,10.591085199999725,8.240387600000002
631.3292215,0.0018614999999999,43,30,0,169,73,0.0,1.0,0.0,0.0,17.466876118408518,0.6976744186046512,1.5555555555555556,4.179339196381232,0.1780821917808219,0.0,9.745180900000037,8.234626299999945,20.841498499999943,13.108136000000059,8.6483455
1143.905,0.145,76,69,1,49,145,0.0,0.0,1.0,0.0,27.600185534004485,0.9078947368421053,4.105263157894737,5.253587872492901,0.04827586206896552,0.0,0.13598000000001775,11.538999999999987,-2.0439900000001217,24.571216599999843,7.889
699.3,0.336,42,42,1,0,84,1.0,0.0,0.0,0.0,19.180187896644355,1.0,4.0,4.379519139887889,0.0,1.0,-1.0249999999999773,11.413220000000024,0.13800000000003365,26.085705000000075,8.325
2022.357,0.281,169,112,1,3249,281,0.0,1.0,0.0,0.0,42.901342231374805,0.6627218934911243,1.7647058823529411,6.549911620119374,0.20284697508896798,0.0,1.5570000000000164,7.197000000000116,10.577639999999974,12.979000000000042,7.197
1592.0753018,0.025149,124,78,0,2116,202,1.0,0.0,0.0,0.0,34.42713741084797,0.6290322580645161,1.3333333333333333,5.867464308442615,0.22772277227722773,1.0,7.740293199999996,4.9256981999999425,16.575980200000004,11.16069820000007,7.8815609
1377.937448,0.000731,101,69,0,1024,170,0.0,0.0,0.0,1.0,30.687813601627905,0.6831683168316832,7.71875,5.539658256754464,0.18823529411764706,-1.0,6.800476600000138,7.486272100000178,11.51869680000027,13.72086440000021,8.105514399999999
1837.417778,0.0024255,147,98,0,2401,245,0.0,1.0,0.0,0.0,39.15411297284888,0.6666666666666666,9.08108108108108,6.257324745675973,0.2,0.0,2.8553073999999015,7.366234000000077,6.190221999999949,13.418380600000091,7.4996644
1637.79,0.21,130,80,1,2500,210,1.0,0.0,0.0,0.0,35.33020818053945,0.6153846153846154,1.3333333333333333,5.943921952763129,0.23809523809523808,1.0,7.966006500000276,3.1569999999999254,16.725903600000038,7.754000000000133,7.7989999999999995
1464.4926528,0.0279496,107,77,0,900,184,0.0,0.0,0.0,1.0,32.35031759636025,0.719626168224299,3.9583333333333335,5.68773395970313,0.16304347826086957,-1.0,4.366258699999889,8.79602819999991,6.681954599999926,15.704144999999926,7.9591992000000005
1056.4604442,0.0041958,77,49,0,784,126,0.0,0.0,0.0,1.0,25.133156184720164,0.6363636363636364,0.8333333333333334,5.0132979349645845,0.2222222222222222,-1.0,12.949177200000122,7.141848199999913,21.398423000000093,12.52337660000012,8.384606699999999
854.8468300000001,0.00798,59,41,0,324,100,0.0,0.0,0.0,1.0,21.544346900318832,0.6949152542372882,4.5,4.641588833612778,0.18,-1.0,11.017675899999972,7.171555499999954,19.359612800000036,12.649654999999939,8.548468300000001
1436.94,0.36,111,69,1,1764,180,0.0,0.0,0.0,1.0,31.879757075478327,0.6216216216216216,6.964285714285714,5.64621617328617,0.23333333333333334,-1.0,10.336000000000013,5.448999999999842,18.33199999999988,9.596000000000004,7.9830000000000005
1896.644508,0.0108119999999999,156,99,0,3249,255,0.0,0.0,1.0,0.0,40.212411701776524,0.6346153846153846,9.767441860465116,6.341325705384997,0.2235294117647059,0.0,5.893424799999821,4.9234919999998965,9.674708499999952,10.809491999999864,7.4378216
