Z,elem,A,N,Rav,delta_Rav,x,ee,eo,oe,oo,t,h,P,K,S,d,diff
84,Po,207,123,5.5501,0.0189,1521,0.0,1.0,0.0,0.0,34.992923739494074,0.6829268292682927,1.199999760000048,5.915481699700716,0.18840579710144928,0.0,0.01954592959206991
24,Cr,50,26,3.6588,0.0065,4,1.0,0.0,0.0,0.0,13.572088082974531,0.9230769230769231,1.3333331111111482,3.6840314986403864,0.04,1.0,-0.0014612941892817588
64,Gd,157,93,5.1449,0.0042,841,0.0,1.0,0.0,0.0,29.102687879321483,0.6881720430107527,6.15999975360001,5.394690712109591,0.18471337579617833,0.0,-0.013565875401735816
72,Hf,172,100,5.3065,0.0043,784,1.0,0.0,0.0,0.0,30.92803284791408,0.72,6.4285711989796,5.561297766521235,0.16279069767441862,1.0,-0.02560706824073211
67,Ho,165,98,5.2022,0.0312,961,0.0,0.0,1.0,0.0,30.08310291760778,0.6836734693877551,7.741935234131121,5.484806552432618,0.18787878787878787,0.0,-0.06862946405985504
88,Ra,210,122,5.5917,0.018,1156,1.0,0.0,0.0,0.0,35.33020818053945,0.7213114754098361,2.399999760000024,5.943921952763129,0.1619047619047619,1.0,-0.011746549721859623
94,Pu,240,146,5.8701,0.0379,2704,1.0,0.0,0.0,0.0,38.61957538422518,0.6438356164383562,7.499999765625008,6.214465011907717,0.21666666666666667,1.0,-0.0452584570593233
82,Pb,199,117,5.4529,0.0022,1225,0.0,1.0,0.0,0.0,34.08542532669918,0.7008547008547008,0.0,5.838272460814002,0.17587939698492464,0.0,0.007068470940429172
12,Mg,24,12,3.0568,0.0018,0,1.0,0.0,0.0,0.0,8.320335292207616,1.0,1.9999997500000315,2.8844991406148166,0.0,1.0,-0.0029851629582302586
21,Sc,42,21,3.5702,0.0238,0,0.0,0.0,0.0,1.0,12.082761235960547,1.0,0.499999750000125,3.4760266448864496,0.0,-1.0,0.0682095198054915
11,Na,20,9,2.9718,0.042,4,0.0,0.0,0.0,1.0,7.368062997280773,1.2222222222222223,0.7499998125000469,2.7144176165949063,-0.1,-1.0,-0.010127909555549763
50,Sn,114,64,4.6099,0.002,196,1.0,0.0,0.0,0.0,23.510935004498354,0.78125,0.0,4.848807585839879,0.12280701754385964,1.0,0.01936380380900271
55,Cs,118,63,4.7832,0.0092,64,0.0,0.0,0.0,1.0,24.057731387639894,0.873015873015873,3.611110910493838,4.904868131524016,0.06779661016949153,-1.0,0.0292247177764553
78,Pt,191,113,5.4102,0.0031,1225,0.0,1.0,0.0,0.0,33.16568041084109,0.6902654867256637,3.058823349480979,5.758965220492401,0.18324607329842932,0.0,-0.018954091740837953
66,Dy,146,80,5.0438,0.2389,196,1.0,0.0,0.0,0.0,27.7269375249599,0.825,1.7777776790123512,5.265637428171437,0.0958904109589041,1.0,0.01907305524054337
73,Ta,181,108,5.3507,0.0034,1225,0.0,0.0,1.0,0.0,31.997721191890314,0.6759259259259259,5.999999777777786,5.65665282582291,0.19337016574585636,0.0,-0.03733214732051682
29,Cu,63,34,3.8823,0.0015,25,0.0,0.0,1.0,0.0,15.832896263712227,0.8529411764705882,0.857142734693895,3.9790572078963917,0.07936507936507936,0.0,0.008829187210262823
48,Cd,105,57,4.5216,0.007,81,0.0,1.0,0.0,0.0,22.25663649191485,0.8421052631578947,1.5555553827160686,4.7176939803165325,0.08571428571428572,0.0,-0.011415523887468915
49,In,115,66,4.6156,0.0026,289,0.0,0.0,1.0,0.0,23.648225622144295,0.7424242424242424,0.9411764152249167,4.862944131094279,0.14782608695652175,0.0,0.01482148232744862
12,Mg,28,16,3.0691,0.0034,16,1.0,0.0,0.0,0.0,9.220872584116892,0.75,1.9999997500000315,3.0365889718756622,0.14285714285714285,1.0,-0.01579255998350737
18,Ar,43,25,3.4354,0.0039,49,0.0,1.0,0.0,0.0,12.273797969521459,0.72,1.199999760000048,3.503398060386724,0.16279069767441862,0.0,0.015424514675337342
56,Ba,122,66,4.8153,0.0054,100,1.0,0.0,0.0,0.0,24.598382690509563,0.8484848484848485,4.363636165289265,4.9596756638423,0.08196721311475409,1.0,0.009115840521813467
90,Th,228,138,5.7488,0.0152,2304,1.0,0.0,0.0,0.0,37.32128295889665,0.6521739130434783,4.799999760000012,6.109114744289606,0.21052631578947367,1.0,-0.01698791682656875
77,Ir,182,105,5.3705,0.1061,784,0.0,0.0,0.0,1.0,32.11546826178415,0.7333333333333333,4.0384613831361005,5.667051108097064,0.15384615384615385,-1.0,-0.017648993171181182
41,Nb,93,52,4.324,0.0017,121,0.0,0.0,1.0,0.0,20.526833787405323,0.7884615384615384,1.6363634876033195,4.530654896083492,0.11827956989247312,0.0,-0.017155153474543994
37,Rb,91,54,4.2723,0.0131,289,0.0,0.0,1.0,0.0,20.231477245126285,0.6851851851851852,2.769230556213034,4.497941445275415,0.18681318681318682,0.0,-0.009707711208628567
54,Xe,122,68,4.759,0.0059,196,1.0,0.0,0.0,0.0,24.598382690509563,0.7941176470588235,3.1111109382716142,4.9596756638423,0.11475409836065574,1.0,0.002207405431236431
20,Ca,47,27,3.4783,0.0024,49,0.0,1.0,0.0,0.0,13.023625676689214,0.7407407407407407,0.0,3.6088260801386944,0.14893617021276595,0.0,-0.013553974686838277
88,Ra,211,123,5.5929,0.0179,1225,0.0,1.0,0.0,0.0,35.44227874406976,0.7154471544715447,1.9999997777778027,5.953341813139051,0.16587677725118483,0.0,-0.00786411450902147
78,Pt,181,103,5.3996,0.0041,625,0.0,1.0,0.0,0.0,31.997721191890314,0.7572815533980582,3.359999865600005,5.65665282582291,0.13812154696132597,0.0,0.02172650156362188
96,Cm,245,149,5.8475,0.0182,2809,0.0,1.0,0.0,0.0,39.15411297284888,0.6442953020134228,8.702702467494529,6.257324745675973,0.2163265306122449,0.0,-0.13312846437151826
82,Pb,212,130,5.5396,0.0019,2304,1.0,0.0,0.0,0.0,35.55417239989791,0.6307692307692307,0.0,5.96273195774369,0.22641509433962265,1.0,0.023398114973911532
82,Pb,207,125,5.4943,0.0014,1849,0.0,1.0,0.0,0.0,34.992923739494074,0.656,0.0,5.915481699700716,0.20772946859903382,0.0,0.005304975136015244
38,Sr,77,39,4.2569,0.0044,1,0.0,1.0,0.0,0.0,18.099246023352887,0.9743589743589743,5.2380949886621435,4.254320865115005,0.012987012987012988,0.0,0.013801059367338553
38,Sr,84,46,4.2394,0.0024,64,1.0,0.0,0.0,0.0,19.180187896644355,0.8260869565217391,2.8571426530612394,4.379519139887889,0.09523809523809523,1.0,-0.00899561776026303
66,Dy,148,82,5.0455,0.2389,256,1.0,0.0,0.0,0.0,27.97957694388431,0.8048780487804879,0.0,5.289572472694207,0.10810810810810811,1.0,0.0429463066482354
78,Pt,184,106,5.4015,0.0036,784,1.0,0.0,0.0,0.0,32.35031759636025,0.7358490566037735,3.33333319444445,5.68773395970313,0.15217391304347827,1.0,0.00703363858748407
70,Yb,168,98,5.2702,0.0056,784,1.0,0.0,0.0,0.0,30.446650444080973,0.7142857142857143,6.857142612244907,5.517848352762241,0.16666666666666666,1.0,-0.02793695116872197
86,Rn,205,119,5.5569,0.018,1089,0.0,1.0,0.0,0.0,34.76716195915227,0.7226890756302521,2.545454314049608,5.896368539970366,0.16097560975609757,0.0,-0.006433390197211786
65,Tb,152,87,4.9689,0.1504,484,0.0,0.0,0.0,1.0,28.48146943560797,0.7471264367816092,3.7499998125000094,5.336803297443889,0.14473684210526316,-1.0,-0.11877883557065516
82,Pb,191,109,5.4229,0.0026,729,0.0,1.0,0.0,0.0,33.16568041084109,0.7522935779816514,0.0,5.758965220492401,0.14136125654450263,0.0,0.01963570733608755
92,U,233,141,5.8203,0.0049,2401,0.0,1.0,0.0,0.0,37.86494067106982,0.6524822695035462,5.9999997600000095,6.153449493663682,0.21030042918454936,0.0,-0.01178901267336041
88,Ra,229,141,5.7455,0.0329,2809,0.0,1.0,0.0,0.0,37.43032990148211,0.624113475177305,4.285714081632663,6.11803317263662,0.2314410480349345,0.0,-0.0013153980325961712
50,Sn,123,73,4.6665,0.0023,529,0.0,1.0,0.0,0.0,24.732617117726065,0.684931506849315,0.0,4.97318983326859,0.18699186991869918,0.0,0.017874291462753433
79,Au,197,118,5.4371,0.0038,1521,0.0,0.0,1.0,0.0,33.856663005926926,0.6694915254237288,2.1818179834710927,5.818647867496961,0.19796954314720813,0.0,-0.016738436373836763
82,Pb,193,111,5.431,0.0023,841,0.0,1.0,0.0,0.0,33.39680130004011,0.7387387387387387,0.0,5.778996565152129,0.15025906735751296,0.0,0.017159893626560674
19,K,38,19,3.4236,0.0259,0,0.0,0.0,0.0,1.0,11.302878635921052,1.0,0.499999750000125,3.361975406798963,0.0,-1.0,0.015586814451649111
