Z,N,BE
8,8,128.03
8,9,132.45
8,10,141.84
8,11,144.95
8,12,152.98
8,13,155.15
8,14,161.39
8,15,162.16
8,16,165.98
8,17,164.91
8,18,167.41
8,19,165.5
8,20,166.82
8,21,163.92
8,22,165.12
8,23,162.45
8,24,162.41
8,25,156.45
8,26,155.44
8,27,153.57
8,28,152.82
8,29,146.1
8,30,143.61
8,31,138.81
8,32,138.21
8,33,133.19
8,34,128.4
9,8,129.22
9,9,136.73
9,10,148.51
9,11,154.18
9,12,162.95
9,13,167.59
9,14,174.7
9,15,177.6
9,16,181.85
9,17,182.8
9,18,185.65
9,19,185.9
9,20,187.81
9,21,187.13
9,22,188.68
9,23,186.52
9,24,187.0
9,25,183.96
9,26,182.94
9,27,180.41
9,28,181.8
9,29,176.87
9,30,174.05
9,31,171.84
9,32,169.69
9,33,164.46
9,34,161.23
9,35,157.42
9,36,156.19
9,37,150.59
10,8,134.37
10,9,144.67
10,10,160.81
10,11,166.96
10,12,177.97
10,13,182.69
10,14,192.61
10,15,195.62
10,16,202.25
10,17,203.38
10,18,208.55
10,19,208.71
10,20,212.44
10,21,212.33
10,22,215.27
10,23,213.91
10,24,215.81
10,25,213.44
10,26,213.97
10,27,212.52
10,28,213.76
10,29,208.31
10,30,207.94
10,31,204.63
10,32,203.55
10,33,199.89
10,34,196.56
10,35,195.47
10,36,192.93
10,37,186.34
10,38,183.8
10,39,178.88
10,40,175.78
10,41,171.04
11,8,133.28
11,9,146.2
11,10,162.95
11,11,172.93
11,12,185.85
11,13,192.42
11,14,201.94
11,15,207.09
11,16,214.29
11,17,217.95
11,18,223.78
11,19,225.85
11,20,229.86
11,21,231.24
11,22,234.25
11,23,234.92
11,24,237.09
11,25,236.34
11,26,237.49
11,27,237.37
11,28,238.04
11,29,235.49
11,30,234.64
11,31,231.93
11,32,230.84
11,33,227.6
11,34,225.76
11,35,224.21
11,36,222.02
11,37,217.76
11,38,215.72
11,39,210.2
11,40,207.1
11,41,202.72
11,42,200.93
11,43,195.83
11,44,192.31
12,8,136.48
12,9,150.19
12,10,169.14
12,11,181.22
12,12,197.38
12,13,204.63
12,14,216.69
12,15,221.54
12,16,230.7
12,17,234.84
12,18,242.17
12,19,244.97
12,20,250.78
12,21,252.24
12,22,256.93
12,23,257.88
12,24,261.62
12,25,261.37
12,26,264.29
12,27,264.25
12,28,267.12
12,29,263.97
12,30,264.89
12,31,262.16
12,32,262.17
12,33,259.02
12,34,258.89
12,35,255.6
12,36,254.46
12,37,250.72
12,38,249.28
12,39,245.53
12,40,243.98
12,41,238.9
12,42,236.12
12,43,233.13
12,44,230.79
12,45,225.96
12,46,223.25
12,47,217.85
13,8,133.77
13,9,149.89
13,10,168.9
13,11,183.18
13,12,199.71
13,13,210.69
13,14,223.56
13,15,231.47
13,16,240.88
13,17,246.09
13,18,255.07
13,19,258.96
13,20,265.42
13,21,268.23
13,22,273.44
13,23,275.54
13,24,279.7
13,25,281.04
13,26,284.33
13,27,286.26
13,28,289.18
13,29,287.35
13,30,288.31
13,31,287.16
13,32,287.12
13,33,285.64
13,34,285.62
13,35,283.38
13,36,282.04
13,37,278.62
13,38,277.6
13,39,274.62
13,40,273.19
13,41,269.96
13,42,267.26
13,43,263.67
13,44,263.13
13,45,258.18
13,46,255.57
13,47,251.32
13,48,249.05
13,49,244.88
13,50,241.47
14,8,133.93
14,9,151.76
14,10,173.33
14,11,187.88
14,12,206.11
14,13,218.51
14,14,234.72
14,15,242.12
14,16,254.09
14,17,260.55
14,18,270.27
14,19,275.07
14,20,283.1
14,21,286.45
14,22,293.16
14,23,294.93
14,24,300.95
14,25,302.6
14,26,307.05
14,27,309.42
14,28,313.99
14,29,312.62
14,30,314.96
14,31,313.69
14,32,315.16
14,33,313.58
14,34,314.7
14,35,312.38
14,36,312.51
14,37,310.06
14,38,309.08
14,39,306.23
14,40,305.87
14,41,302.48
14,42,301.22
14,43,297.68
14,44,296.64
14,45,293.67
14,46,291.44
14,47,287.82
14,48,286.28
14,49,282.25
14,50,282.66
14,51,273.84
14,52,270.79
14,53,265.64
14,54,262.23
15,8,129.62
15,9,148.57
15,10,171.08
15,11,186.85
15,12,205.96
15,13,220.82
15,14,236.82
15,15,248.65
15,16,261.53
15,17,268.81
15,18,279.28
15,19,285.73
15,20,294.28
15,21,299.1
15,22,305.95
15,23,309.68
15,24,315.89
15,25,319.12
15,26,324.3
15,27,326.33
15,28,330.82
15,29,332.16
15,30,334.73
15,31,334.98
15,32,336.8
15,33,336.33
15,34,337.55
15,35,336.44
15,36,336.83
15,37,335.27
15,38,335.11
15,39,332.92
15,40,332.66
15,41,330.21
15,42,328.86
15,43,326.24
15,44,324.95
15,45,322.29
15,46,320.89
15,47,319.12
15,48,315.73
15,49,312.65
15,50,310.99
15,51,307.03
15,52,304.13
15,53,299.68
15,54,296.28
15,55,291.75
15,56,288.1
15,57,285.83
15,58,283.05
16,8,127.26
16,9,146.91
16,10,171.62
16,11,188.21
16,12,209.21
16,13,224.15
16,14,242.78
16,15,255.01
16,16,270.83
16,17,279.06
16,18,290.84
16,19,297.96
16,20,308.18
16,21,313.37
16,22,321.79
16,23,325.87
16,24,333.62
16,25,337.2
16,26,343.97
16,27,346.63
16,28,352.04
16,29,353.47
16,30,357.7
16,31,358.07
16,32,361.19
16,33,361.23
16,34,363.43
16,35,362.34
16,36,364.04
16,37,362.27
16,38,363.66
16,39,361.74
16,40,362.32
16,41,359.61
16,42,359.88
16,43,357.01
16,44,356.81
16,45,354.07
16,46,353.72
16,47,350.74
16,48,349.82
16,49,346.85
16,50,345.32
16,51,341.94
16,52,340.13
16,53,335.73
16,54,333.76
16,55,329.88
16,56,327.31
16,57,322.55
16,58,318.44
16,59,314.2
16,60,310.84
17,8,120.64
17,9,141.61
17,10,166.81
17,11,185.82
17,12,207.13
17,13,223.97
17,14,242.96
17,15,257.05
17,16,272.96
17,17,283.94
17,18,297.17
17,19,305.74
17,20,316.45
17,21,323.26
17,22,332.19
17,23,337.33
17,24,345.93
17,25,350.77
17,26,357.73
17,27,361.57
17,28,367.77
17,29,370.54
17,30,374.78
17,31,376.45
17,32,379.8
17,33,380.87
17,34,383.48
17,35,383.68
17,36,384.86
17,37,384.79
17,38,386.39
17,39,385.56
17,40,386.49
17,41,385.29
17,42,385.99
17,43,384.45
17,44,383.52
17,45,381.31
17,46,381.23
17,47,379.59
17,48,378.81
17,49,376.29
17,50,374.72
17,51,371.52
17,52,369.69
17,53,366.08
17,54,364.94
17,55,362.3
17,56,359.76
17,57,355.71
17,58,352.52
17,59,347.85
17,60,344.54
17,61,339.97
17,62,335.47
18,9,137.69
18,10,164.61
18,11,184.38
18,12,207.99
18,13,225.49
18,14,246.12
18,15,260.75
18,16,278.25
18,17,290.52
18,18,306.06
18,19,315.61
18,20,327.77
18,21,335.08
18,22,345.67
18,23,351.38
18,24,361.23
18,25,365.83
18,26,374.41
18,27,378.97
18,28,386.25
18,29,389.07
18,30,394.33
18,31,396.32
18,32,400.72
18,33,402.17
18,34,406.06
18,35,405.99
18,36,408.99
18,37,408.99
18,38,411.68
18,39,411.02
18,40,413.11
18,41,411.94
18,42,413.57
18,43,412.44
18,44,412.21
18,45,410.56
18,46,411.19
18,47,409.3
18,48,409.7
18,49,407.5
18,50,407.44
18,51,404.4
18,52,403.31
18,53,399.91
18,54,398.22
18,55,395.6
18,56,393.17
18,57,389.76
18,58,387.43
18,59,383.46
18,60,380.55
18,61,375.18
18,62,371.88
18,63,366.82
18,64,363.87
18,65,358.26
19,10,158.29
19,11,179.85
19,12,203.79
19,13,222.81
19,14,244.38
19,15,260.47
19,16,278.64
19,17,292.78
19,18,308.83
19,19,320.26
19,20,333.85
19,21,342.54
19,22,353.54
19,23,360.93
19,24,370.69
19,25,377.28
19,26,386.14
19,27,391.64
19,28,399.56
19,29,403.71
19,30,409.09
19,31,411.85
19,32,416.29
19,33,418.43
19,34,422.67
19,35,423.74
19,36,427.06
19,37,428.12
19,38,431.39
19,39,431.38
19,40,433.48
19,41,433.54
19,42,435.2
19,43,434.77
19,44,435.97
19,45,435.11
19,46,436.03
19,47,435.09
19,48,435.83
19,49,434.59
19,50,434.83
19,51,432.52
19,52,431.41
19,53,428.69
19,54,427.05
19,55,423.91
19,56,422.26
19,57,420.28
19,58,417.98
19,59,414.0
19,60,411.34
19,61,407.12
19,62,404.67
19,63,397.93
19,64,394.99
19,65,390.58
19,66,387.29
19,67,382.96
19,68,379.41
20,10,154.64
20,11,176.7
20,12,202.61
20,13,222.19
20,14,245.36
20,15,262.07
20,16,281.63
20,17,296.13
20,18,313.72
20,19,326.55
20,20,342.62
20,21,351.62
20,22,364.24
20,23,371.98
20,24,383.28
20,25,390.21
20,26,400.5
20,27,406.38
20,28,415.48
20,29,419.77
20,30,426.45
20,31,429.35
20,32,435.06
20,33,436.95
20,34,442.33
20,35,443.99
20,36,448.48
20,37,449.51
20,38,453.45
20,39,454.18
