Z,A,M
2,4,4.285
3,4,15.524
2,5,12.081
3,5,12.421
4,5,27.269
2,6,16.972
3,6,13.572
4,6,18.286
5,6,37.328
2,7,26.822
3,7,14.541
4,7,15.433
5,7,29.725
6,7,47.581
2,8,30.627
3,8,21.396
4,8,8.165
5,8,23.734
6,8,35.711
2,9,39.789
3,9,24.073
4,9,13.274
5,9,14.659
6,9,28.402
2,10,48.219
3,10,31.128
4,10,12.711
5,10,12.204
6,10,15.981
7,10,37.984
8,10,59.358
2,11,60.371
3,11,39.047
4,11,19.462
5,11,8.952
6,11,10.791
7,11,25.116
8,11,48.952
2,12,70.470
3,12,48.846
4,12,24.046
5,12,13.299
6,12,0.481
7,12,17.439
8,12,32.578
9,12,62.313
2,13,82.726
3,13,59.210
4,13,34.071
5,13,16.102
6,13,3.447
7,13,5.710
8,13,23.005
9,13,45.966
10,13,76.738
2,14,92.088
3,14,69.144
4,14,41.243
5,14,23.706
6,14,3.672
7,14,2.270
8,14,8.630
9,14,33.833
10,14,56.981
3,15,79.478
4,15,51.895
5,15,29.800
6,15,10.402
7,15,0.317
8,15,2.982
9,15,18.491
10,15,43.608
3,16,87.671
4,16,59.276
5,16,38.081
6,16,13.876
7,16,4.949
8,16,-5.150
9,16,10.687
10,16,25.529
11,16,56.022
12,16,84.102
3,17,96.034
4,17,68.871
5,17,44.991
6,17,21.702
7,17,6.844
8,17,-1.915
9,17,1.132
10,17,16.067
11,17,37.354
12,17,67.511
4,18,74.812
5,18,52.476
6,18,26.049
7,18,12.592
8,18,-2.150
9,18,-1.286
10,18,4.334
11,18,25.714
12,18,46.127
4,19,85.275
5,19,58.655
6,19,33.582
7,19,15.881
8,19,2.632
9,19,-3.354
10,19,0.060
11,19,12.945
12,19,33.313
14,19,91.647
4,20,94.591
5,20,67.279
6,20,37.432
7,20,21.467
8,20,3.791
9,20,-0.348
10,20,-7.360
11,20,6.853
12,20,18.328
13,20,43.619
14,20,67.635
4,21,107.105
5,21,76.991
6,21,46.604
7,21,24.810
8,21,8.840
9,21,-0.555
10,21,-5.584
11,21,-1.817
12,21,10.810
13,21,27.996
14,21,52.090
4,22,118.218
5,22,87.327
6,22,53.941
7,22,32.090
8,22,10.172
9,22,2.776
10,22,-7.554
11,22,-4.977
12,22,0.340
13,22,18.684
14,22,34.341
15,22,64.903
5,23,98.791
